stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
216,216,Primat Reig - Calderón de la Barca,Primat Reig 101 (DAVANT JARDÍ) - VALÈNCIA,39.486068942403,-0.366035753756245,,,0,,0
219,219,Aragó - Passeig de l'Albereda,Aragó 3 - VALÈNCIA,39.4694375503949,-0.360091218178871,,,0,,0
223,223,Vivers - General Elio,General Elío 2 - VALÈNCIA,39.4779269240001,-0.366970047032652,,,0,,0
224,224,Vivers,General Elío REIXA VIVERS - VALÈNCIA,39.4773620381967,-0.367506170132449,,,0,,0
225,225,Cardenal Benlloch - Ciutat de Mula,Cardenal Benlloch 99 - VALÈNCIA,39.4741744379537,-0.353133419379167,,,0,,0
226,226,Cardenal Benlloch - Ernest Ferrer,Cardenal Benlloch 69 - VALÈNCIA,39.47199782643,-0.354179920150321,,,0,,0
227,227,Ernest Ferrer - Polo y Peyrolón,Ernest Ferrer 13 - VALÈNCIA,39.4718190648507,-0.355211378831175,,,0,,0
229,229,Cardenal Benlloch (imparell) - Port,Cardenal Benlloch 5 - VALÈNCIA,39.4674406046033,-0.356439599463804,,,0,,0
230,230,Eduard Boscà - Passeig de l'Albereda,Eduard Boscà 32 - VALÈNCIA,39.4646311308842,-0.357835276572863,,,0,,0
231,231,Eduard Boscà - Balears,Eduard Boscà 31 - VALÈNCIA,39.4645609348721,-0.357652679787357,,,0,,0
238,238,Doctor Peset Aleixandre - Joan XXIII,Doctor Peset Aleixandre 94 - VALÈNCIA,39.4901787339054,-0.382982676932048,,,0,,0
242,242,Doctor Peset Aleixandre - Guardacostes,Doctor Peset Aleixandre 105 - VALÈNCIA,39.4900307611573,-0.382790182504263,,,0,,0
243,243,Doctor Peset Aleixandre - Camí de Moncada,Doctor Peset Aleixandre 71 - VALÈNCIA,39.4908821786457,-0.378897815338959,,,0,,0
244,244,Doctor Peset Aleixandre - Constitució,Doctor Peset Aleixandre 5 - VALÈNCIA,39.4917655777309,-0.374810427678318,,,0,,0
246,246,Constitució - Duc de Mandas,Constitució 216 - VALÈNCIA,39.4945802349848,-0.371912741300313,,,0,,0
247,247,Constitució - Sant Joan de la Penya,Constitució 256 - VALÈNCIA,39.4965349969155,-0.370815522218061,,,0,,0
248,248,Sant Miquel dels Reis,Constitució 282 - VALÈNCIA,39.4988762210595,-0.370230036116127,,,0,,0
249,249,Constitució (parell) - Campaneta,Constitució 332 - VALÈNCIA,39.5023432403682,-0.368529528793576,,,0,,0
250,250,Constitució (parell) - Tavernes Blanques,Constitució 360 - VALÈNCIA,39.5042012476239,-0.367802073171548,,,0,,0
257,257,Constitució (imparell) - Tavernes Blanques,Constitució 355 - VALÈNCIA,39.504689909252,-0.367689161547201,,,0,,0
258,258,Constitució (imparell) - Campaneta,Constitució 311 - VALÈNCIA,39.5024273206881,-0.36861830453422,,,0,,0
259,259,Sant Miquel dels Reis (front),Constitució 273 - VALÈNCIA,39.4993079274604,-0.370273528733512,,,0,,0
268,268,Joan XXIII (parell) - Félix del Río,Joan XXIII 10 - VALÈNCIA,39.4911243428505,-0.382275390936261,,,0,,0
272,272,Sant Doménec Savio - Mestre Marçal,Sant Doménec Savio 13 - VALÈNCIA,39.4934951462781,-0.374504218609969,,,0,,0
273,273,Sant Doménec Savio - Constitució,Sant Doménec Savio 5 - VALÈNCIA,39.4925823258315,-0.374122830887616,,,0,,0
279,279,Camí de Moncada - Doctor Peset Aleixandre,Montcada 50 - VALÈNCIA,39.4914608442896,-0.378705850288158,,,0,,0
280,280,Camí de Moncada (parell) - Cambrils,Montcada 92 - VALÈNCIA,39.4946544230344,-0.380199023254222,,,0,,0
281,281,Camí de Moncada (parell) - Alemany,Montcada 121 (DAVANT) - VALÈNCIA,39.4964490264497,-0.380923697227369,,,0,,0
282,282,Camí de Moncada - Entrada Camí Carpesa,Montcada 188 - VALÈNCIA,39.5027825508681,-0.382711230747397,,,0,,0
283,283,Camí de Moncada - Poble Nou (parell),Montcada 218 - VALÈNCIA,39.5050566890163,-0.383697365449634,,,0,,0
284,284,Camí de Moncada - Casa d'Àngel,Montcada 260 - VALÈNCIA,39.5068479177681,-0.38401950371849,,,0,,0
285,285,Camí de Moncada - Alqueria Ballester,Montcada 328 - VALÈNCIA,39.5102971626887,-0.385825653359297,,,0,,0
286,286,Camí de Moncada (parell) - Matador,Montcada 382 (ENTRADA BORBOTÓ) - VALÈNCIA,39.5154938171239,-0.386885855177179,,,0,,0
290,290,Carpesa,"Palmaret, del 103 - CARPESA",39.514985186544,-0.376930818203196,,,0,,0
291,291,Camí de Moncada (parell) - Alqueria Senent,Benifaraig A Montcada S/N - VALÈNCIA,39.5215682587148,-0.386469202536235,,,0,,0
292,292,Benifaraig a Moncada - Casa Silvestre,Montcada S/N (SILVESTRE) - VALÈNCIA,39.5252535589581,-0.386045292418078,,,0,,0
296,296,Benifaraig a Moncada - Boquera,Benifaraig A Montcada S/N - VALÈNCIA,39.5252665647827,-0.386220934211167,,,0,,0
297,297,Camí de Moncada (imparell) - Alqueria Senent,Montcada S/N - VALÈNCIA,39.5215866838973,-0.386546190107087,,,0,,0
299,299,Camí de Moncada (imparell) - Matador,Montcada A BORBOTÓ - VALÈNCIA,39.5154724135858,-0.386975229164838,,,0,,0
300,300,Camí de Moncada - Alqueria Paella,Montcada 313 - VALÈNCIA,39.5100714256962,-0.385823152900578,,,0,,0
301,301,Camí de Moncada - Carretera Daniel,Montcada 247 - VALÈNCIA,39.5064397779174,-0.384106124018526,,,0,,0
302,302,Camí de Moncada - Poble Nou (imparell),Montcada 217 - VALÈNCIA,39.5050306435267,-0.383804382639967,,,0,,0
303,303,Camí de Moncada - Carretera Carpesa,Montcada 181 - VALÈNCIA,39.5027200371464,-0.382694100336926,,,0,,0
304,304,Camí de Moncada (imparell) - Alemany,Montcada 123 - VALÈNCIA,39.4965693351919,-0.381201074248221,,,0,,0
305,305,Camí de Moncada (imparell) - Cambrils,Montcada 96 (DAVANT) - VALÈNCIA,39.4948853664217,-0.380465244400362,,,0,,0
306,306,Camí de Moncada - Félix del Río,Montcada 61 - VALÈNCIA,39.4918043321135,-0.379033530362995,,,0,,0
307,307,Burjassot - Mondúver,Burjassot 130 - VALÈNCIA,39.489488980981,-0.390290572433092,,,0,,0
308,308,Burjassot - Pintor Matarana,Burjassot 186 - VALÈNCIA,39.4923934395667,-0.39330973221075,,,0,,0
309,309,Burjassot - Salvador Tuset,Burjassot 230 - VALÈNCIA,39.4945797144003,-0.395602623740789,,,0,,0
310,310,Louis Braille (parell) - Parc de Benicalap,Louis Braille 2 - VALÈNCIA,39.4956788477779,-0.396210686811134,,,0,,0
311,311,Sant Josep Artesà - Luis Martí Alegre,Sant Josep Artesà 16 - VALÈNCIA,39.4983110910341,-0.393799795770908,,,0,,0
314,314,Louis Braille (imparell) - Parc de Benicalap,Louis Braille 2 (DAVANT) - VALÈNCIA,39.4957989496711,-0.396287725144595,,,0,,0
319,319,Campanar - Doctor Nicasi Benlloch ,Campanar 1 - VALÈNCIA,39.4881967019273,-0.389613410118518,,,0,,0
321,321,Sagunt - Sant Guillem,Sagunt 58 ACC - VALÈNCIA,39.4843760405237,-0.374740755207114,,,0,,0
322,322,Sagunt - Fra Pere Vives,Sagunt 110 - VALÈNCIA,39.4862298096979,-0.37465609885753,,,0,,0
323,323,Sagunt - Pare Urbà,Sagunt 168 - VALÈNCIA,39.4889866473073,-0.375011972868017,,,0,,0
324,324,Sagunt - Don Bosco,Sagunt 192 - VALÈNCIA,39.4915759184613,-0.373954327104706,,,0,,0
325,325,Constitució - Doctor Peset Aleixandre,Constitució 127 - VALÈNCIA,39.4915297409496,-0.374452700184874,,,0,,0
326,326,Constitució - Xest,Constitució 85 - VALÈNCIA,39.4893127349157,-0.375997606004721,,,0,,0
327,327,Constitució - Sarrión,Constitució 39 - VALÈNCIA,39.4872755141249,-0.37745660203681,,,0,,0
328,328,Constitució - Màlaga,Constitució 27 - VALÈNCIA,39.4852254898777,-0.378759337067959,,,0,,0
